patologia,relazione,entita_collegata,tipo_entita,diagnosi,esami_laboratorio,ambito,terapia,farmaci,quadro_radiologico,anatomia_patologica
Aneurisma Aortico Addominale,HA_SINTOMO,Dolore addominale profondo,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,Dolore lombare,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,Pulsazione addominale,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,Senso di pienezza,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,Astenia,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,dolore improvviso alla schiena,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,collasso,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,ipotensione,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,shock,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,HA_SINTOMO,sudorazione fredda,sintomo,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,FATTORE_RISCHIO,Ipertensione arteriosa,stile_vita,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,FATTORE_RISCHIO,Fumo di sigaretta,stile_vita,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,FATTORE_RISCHIO,Aterosclerosi,stile_vita,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,FATTORE_RISCHIO,Età avanzata,stile_vita,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,FATTORE_RISCHIO,Maschio,stile_vita,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Aneurisma Aortico Addominale,FATTORE_RISCHIO,Malattie del tessuto connettivo (sindrome di Marfan),stile_vita,"Ecografia addominale, TC addome/pelvi con contrasto, risonanza magnetica, rx addome","Creatinina, BUN, elettroliti, emocromo, crossmatch, coagulazione",Cardiologia,"Chirurgia open, endoprotesi aortica (EVAR), controllo dei fattori di rischio","Atenololo 50-100mg al giorno
Ramipril 2.5-10mg al giorno
Atorvastatina 10-80mg al giorno
Aspirina 100mg al giorno","- Ecografia: dilatazione dell'aorta addominale > 3 cm
- TC con contrasto: aneurisma, trombosi murale, estensione
","- Dilatazione fusiforme o sacculare dell'aorta
- Assottigliamento della parete aortica
- Trombosi murale
"
Angina pectoris,HA_SINTOMO,dolore toracico da sforzo retrosternale,sintomo,"ECG da sforzo, scintigrafia miocardica, coronarografia","profilo lipidico completo, HbA1c, funzionalita' renale, emocromo",Cardiologia,"nitrati sublinguali da bisogno, betabloccanti, calcio-antagonisti, ACE-inibitori, statine, antiaggreganti","Nitroglicerina 0.4 mg sublinguale da bisogno
Atenololo 50-100 mg die
Amlodipina 5-10 mg die
Aspirina 100 mg die
Atorvastatina 20-80 mg die
Isosorbide mononitrato 40-120 mg die","- ECG basale: possibile normale o depressione ST transitoria durante il dolore
- ECG da sforzo: depressione orizzontale o discendente del tratto ST >=1 mm
- Scintigrafia miocardica (SPECT): difetti di captazione reversibili (ischemia) o fissi (cicatrice)
- Coronarografia: stenosi coronarica >=70% (o >=50% per tronco comune)
- TC coronarica: stenosi calcifiche, plaque non calcifiche
","- Macroscopico: arterie coronarie con placche aterosclerotiche, stenosi
- Istologico: placca ateromatosa con nucleo lipidico, fibrosa, calcificazioni, trombosi sovrapposta
- Colorazioni: H&E, elastica di Weigert ( fibre elastiche), colorazione di Sudan (lipidi)
"
Angina pectoris,HA_SINTOMO,dispnea da sforzo,sintomo,"ECG da sforzo, scintigrafia miocardica, coronarografia","profilo lipidico completo, HbA1c, funzionalita' renale, emocromo",Cardiologia,"nitrati sublinguali da bisogno, betabloccanti, calcio-antagonisti, ACE-inibitori, statine, antiaggreganti","Nitroglicerina 0.4 mg sublinguale da bisogno
Atenololo 50-100 mg die
Amlodipina 5-10 mg die
Aspirina 100 mg die
Atorvastatina 20-80 mg die
Isosorbide mononitrato 40-120 mg die","- ECG basale: possibile normale o depressione ST transitoria durante il dolore
- ECG da sforzo: depressione orizzontale o discendente del tratto ST >=1 mm
- Scintigrafia miocardica (SPECT): difetti di captazione reversibili (ischemia) o fissi (cicatrice)
- Coronarografia: stenosi coronarica >=70% (o >=50% per tronco comune)
- TC coronarica: stenosi calcifiche, plaque non calcifiche
","- Macroscopico: arterie coronarie con placche aterosclerotiche, stenosi
- Istologico: placca ateromatosa con nucleo lipidico, fibrosa, calcificazioni, trombosi sovrapposta
- Colorazioni: H&E, elastica di Weigert ( fibre elastiche), colorazione di Sudan (lipidi)
"
Angina pectoris,HA_SINTOMO,fatica anomala,sintomo,"ECG da sforzo, scintigrafia miocardica, coronarografia","profilo lipidico completo, HbA1c, funzionalita' renale, emocromo",Cardiologia,"nitrati sublinguali da bisogno, betabloccanti, calcio-antagonisti, ACE-inibitori, statine, antiaggreganti","Nitroglicerina 0.4 mg sublinguale da bisogno
Atenololo 50-100 mg die
Amlodipina 5-10 mg die
Aspirina 100 mg die
Atorvastatina 20-80 mg die
Isosorbide mononitrato 40-120 mg die","- ECG basale: possibile normale o depressione ST transitoria durante il dolore
- ECG da sforzo: depressione orizzontale o discendente del tratto ST >=1 mm
- Scintigrafia miocardica (SPECT): difetti di captazione reversibili (ischemia) o fissi (cicatrice)
- Coronarografia: stenosi coronarica >=70% (o >=50% per tronco comune)
- TC coronarica: stenosi calcifiche, plaque non calcifiche
","- Macroscopico: arterie coronarie con placche aterosclerotiche, stenosi
- Istologico: placca ateromatosa con nucleo lipidico, fibrosa, calcificazioni, trombosi sovrapposta
- Colorazioni: H&E, elastica di Weigert ( fibre elastiche), colorazione di Sudan (lipidi)
"
Angina pectoris,HA_SINTOMO,vertigini,sintomo,"ECG da sforzo, scintigrafia miocardica, coronarografia","profilo lipidico completo, HbA1c, funzionalita' renale, emocromo",Cardiologia,"nitrati sublinguali da bisogno, betabloccanti, calcio-antagonisti, ACE-inibitori, statine, antiaggreganti","Nitroglicerina 0.4 mg sublinguale da bisogno
Atenololo 50-100 mg die
Amlodipina 5-10 mg die
Aspirina 100 mg die
Atorvastatina 20-80 mg die
Isosorbide mononitrato 40-120 mg die","- ECG basale: possibile normale o depressione ST transitoria durante il dolore
- ECG da sforzo: depressione orizzontale o discendente del tratto ST >=1 mm
- Scintigrafia miocardica (SPECT): difetti di captazione reversibili (ischemia) o fissi (cicatrice)
- Coronarografia: stenosi coronarica >=70% (o >=50% per tronco comune)
- TC coronarica: stenosi calcifiche, plaque non calcifiche
","- Macroscopico: arterie coronarie con placche aterosclerotiche, stenosi
- Istologico: placca ateromatosa con nucleo lipidico, fibrosa, calcificazioni, trombosi sovrapposta
- Colorazioni: H&E, elastica di Weigert ( fibre elastiche), colorazione di Sudan (lipidi)
"
